Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Potential	Temperature	Equilibruim
5.53233326414	0.915679700782	5.55048384662	5.18100231327	-2.44391135169	2.55687801717	0.445782384864	1998.81472147	793.28017274	True	
3.88921674087	0.137718161663	5.35033899701	3.58655557047	-2.47655330244	1.87322714402	0.336777478899	3225.07117823	785.347371012	True	
2.81443546534	0.735787576953	6.79090999911	4.07226894044	-2.34512735253	1.74875338641	0.680568171772	3504.27714983	777.493897302	True	
3.22715506666	0.855886092452	5.94489940653	3.31882907532	-2.32571064694	1.87376510942	0.681826107327	3302.74055189	769.718958329	True	
3.43445901334	0.578717327706	6.68571074707	0.511759204766	-2.32793332662	2.01385290821	-0.135557116564	3896.848209	762.021768746	True	
3.56945272239	0.246838183978	7.02545079598	1.31576501009	-2.41111012246	2.46198453318	-0.773234243796	2222.39791707	754.401551058	True	
6.13815644771	0.671644619652	6.2259493607	0.740168595718	-2.55361912064	2.84219895169	0.403335109784	4020.11775946	746.857535548	True	
6.15391810368	0.619424749803	6.91088378578	0.651621781141	-2.31086816619	2.81880760949	1.36800647521	3338.96870372	739.388960192	True	
6.22838654834	0.97438119351	6.72352993057	3.34106967899	-2.50009410438	2.84471245795	0.954497090211	2749.50673622	731.99507059	True	
6.27190193171	2.38910585267	6.43768706734	5.23324416549	-2.45874968605	2.88830040077	1.07942977654	2010.09980632	724.675119885	False	
5.95110538815	3.28778861285	5.7895932744	3.17050946051	-2.38535188805	2.86774350821	1.93356308858	1462.87803094	724.675119885	True	
4.91818568217	2.84175815577	6.01321748183	5.11455152094	-2.5456216322	2.53943183449	2.90692655802	3760.34331552	717.428368686	True	
4.81456438102	1.60687315358	6.08635241496	5.48724327938	-2.40675827465	2.32124701045	0.973822256374	1474.0810172	710.254084999	True	
5.71592967168	0.471697022689	6.94953486708	5.41245541958	-2.32222946964	2.59939138781	2.76606742969	2807.9092651	703.151544149	True	
5.15990559906	0.199982027124	6.29782921766	5.42479712741	-2.42266687098	2.41815000504	3.07987524434	1405.64202974	696.120028707	True	
4.90974012936	0.190767325375	5.7620539121	6.59061069403	-2.44244529918	2.32532020635	3.24985443611	1932.32226068	689.15882842	True	
5.79202841483	0.151425514515	6.97542592284	6.76959375375	-2.4992411601	2.70020770059	3.51834414949	3394.89529961	682.267240136	True	
6.26957476863	0.31227175396	6.44284526455	7.16594266147	-2.34278568575	2.82262457416	2.59606999768	2442.74444013	675.444567735	True	
5.96425526844	1.1468388044	6.00461784948	4.80516927169	-2.44663729072	2.73392506361	3.00881595238	1513.16505024	668.690122057	True	
4.73950729595	1.0275433066	6.37249118411	6.16956296171	-2.36951377866	2.39816874861	3.24959212265	4045.6429736	662.003220837	True	
3.76089064132	0.786353089443	6.03593488438	8.53230591043	-2.46882653949	1.95376535208	2.60537988151	3562.55629218	655.383188628	True	
5.57481732471	0.841787689899	6.02044230952	4.77990524644	-2.4122969711	2.55907356211	2.29866503357	1354.85738215	648.829356742	True	
3.56943052858	1.25253294838	6.36204213749	2.70953515822	-2.44812512444	1.95455071621	2.01356829543	2075.83554735	642.341063175	True	
3.86373048677	1.09367206052	5.58852170668	3.13406618314	-2.40562078327	2.04801698612	0.738361430564	2203.58895745	635.917652543	True	
4.62468119267	1.32594473424	6.27379008734	1.9370737975	-2.43767204155	2.3640880008	0.964035123861	3093.28621924	629.558476018	True	
3.85847306222	0.818842806131	6.42721782282	0.66284930921	-2.42759787473	2.01938923143	2.2069193204	2296.53867373	623.262891257	True	
3.61403018056	0.577041761747	6.22336020028	0.351214552404	-2.48210403677	1.86950440867	2.56291607821	2365.58320168	617.030262345	True	
2.50354513312	1.06860782448	5.87597890368	1.2922044209	-2.46621267034	1.65872387774	2.90002494917	3444.44691236	610.859959721	True	
2.44348607043	0.509156365146	6.27807400124	0.252484824023	-2.45935489701	1.56885761061	2.51512242593	2905.61182765	604.751360124	True	
4.35921417151	0.598742919514	6.38101250036	2.10000777342	-2.34509435864	2.08656528311	2.22867701588	1929.85529519	598.703846523	True	
4.3652101349	0.107698419813	6.25441595274	4.35134381223	-2.36100996174	2.05048224134	2.22751529266	1701.62425997	592.716808058	True	
5.08966839653	1.89974440488	6.75238749243	6.4550632884	-2.36895805564	2.47980797478	1.71420902642	2768.52580583	586.789639977	False	
6.13624447139	2.37609634404	5.70365085732	6.61345981192	-2.42104366757	2.80118464848	2.3737155539	2017.26832407	586.789639977	True	
